challenge_team_id,challenge_team_abbr,challenge_side,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails
133,ATH,batting,31,19,12,0.6129032258064516,0.2312439153613804,-0.2712,0.2312439153613804,-0.03995608463861963,0.00745948114068969,-0.0012889059560845042,0.5593021420975053,0.5326170017368965,5,2,2
121,NYM,batting,29,15,14,0.5172413793103449,0.2243502696213252,-0.3164,0.2243502696213252,-0.09204973037867482,0.0077362161938388,-0.003174128633747408,0.5096166859889233,-1.5030387745668796,1,1,4
137,SF,fielding,32,14,18,0.4375,0.22170962270820066,-0.40680000000000005,0.22170962270820066,-0.1850903772917994,0.006928425709631271,-0.005784074290368731,0.7337885963712921,-1.4333229572798183,4,1,8
113,CIN,batting,29,15,14,0.5172413793103449,0.21627441158601352,-0.3164,0.21627441158601352,-0.1001255884139865,0.00745773833055219,-0.0034526064970340172,0.6508820122598956,0.20677427488371208,5,3,5
134,PIT,fielding,30,16,14,0.5333333333333333,0.21436835582117933,-0.3164,0.21436835582117933,-0.1020316441788207,0.0071456118607059775,-0.00340105480596069,0.7053454964261605,-0.8955952235626847,5,3,6
138,STL,batting,24,12,12,0.5,0.2095122028497953,-0.2712,0.2095122028497953,-0.06168779715020472,0.00872967511874147,-0.00257032488125853,0.551605558960675,-0.35946646933375265,3,2,2
120,WSH,fielding,31,14,17,0.45161290322580644,0.20946502233604536,-0.38420000000000004,0.20946502233604536,-0.17473497766395468,0.00675693620438856,-0.005636612182708216,0.6176244359282566,-2.023726522893701,3,0,5
117,HOU,fielding,38,19,19,0.5,0.2039729969272351,-0.42940000000000006,0.2039729969272351,-0.22542700307276492,0.0053677104454535555,-0.0059322895545464455,0.6702616603467262,-1.515767373722724,4,0,2
140,TEX,fielding,22,12,10,0.5454545454545454,0.2038552822331537,-0.22600000000000003,0.2038552822331537,-0.022144717766846317,0.009266149192416077,-0.0010065780803111962,0.4207454275273822,-0.27383782312559357,5,1,2
111,BOS,batting,20,10,10,0.5,0.19503197494118546,-0.22600000000000003,0.19503197494118546,-0.030968025058814574,0.009751598747059272,-0.0015484012529407287,0.4250404904556603,0.4420506825987463,3,2,2
109,AZ,batting,19,10,9,0.5263157894736842,0.19046376717458158,-0.20340000000000003,0.19046376717458158,-0.012936232825418451,0.010024408798662189,-0.0006808543592325501,0.4842661784400193,-0.3572728632404498,2,0,5
117,HOU,batting,30,16,14,0.5333333333333333,0.18606631536703122,-0.3164,0.18606631536703122,-0.1303336846329688,0.006202210512234374,-0.004344456154432293,0.5727681991781394,-0.9772830880869761,3,1,7
137,SF,batting,28,12,16,0.42857142857142855,0.1843876240382893,-0.36160000000000003,0.1843876240382893,-0.17721237596171074,0.00658527228708176,-0.006329013427203955,0.452670338901026,-1.9648863052381782,3,1,4
146,MIA,batting,22,7,15,0.3181818181818182,0.18260357910211958,-0.339,0.18260357910211958,-0.15639642089788044,0.00830016268645998,-0.007108928222630929,0.659936179544812,-2.038236251508974,2,1,7
116,DET,fielding,21,18,3,0.8571428571428571,0.17459290322386561,-0.0678,0.17459290322386561,0.10679290322386562,0.00831394777256503,0.005085376343993601,0.23268845874208505,1.6025427181660354,4,1,0
147,NYY,fielding,32,20,12,0.625,0.16633850398384648,-0.2712,0.16633850398384648,-0.10486149601615355,0.005198078249495202,-0.0032769217505047984,0.3238761813030074,0.021633077687362043,3,1,3
111,BOS,fielding,16,8,8,0.5,0.15453807663925234,-0.18080000000000002,0.15453807663925234,-0.02626192336074766,0.009658629789953271,-0.0016413702100467288,0.2996825111953519,0.1126622112308554,5,1,1
139,TB,batting,26,12,14,0.46153846153846156,0.14112044507080493,-0.3164,0.14112044507080493,-0.1752795549291951,0.0054277094258001896,-0.006741521343430581,0.7506997098475834,-1.314309880202461,1,0,4
120,WSH,batting,23,7,16,0.30434782608695654,0.13858582000795547,-0.36160000000000003,0.13858582000795547,-0.22301417999204456,0.006025470435128499,-0.009696268695306286,0.2948827850222514,-2.339210584628088,2,0,6
158,MIL,batting,25,8,17,0.32,0.11884643286981922,-0.38420000000000004,0.11884643286981922,-0.2653535671301808,0.0047538573147927685,-0.010614142685207233,0.4680353540635314,-2.9933357719081464,1,1,4
112,CHC,batting,27,12,15,0.4444444444444444,0.08543844834767,-0.339,0.08543844834767,-0.25356155165233,0.00316438697583963,-0.009391168579715926,0.6723408145682643,-1.169822733998125,3,2,3
